gene_callers_id	Classification
gene__2381	1
gene__2382	0
gene__2383	0
gene__2384	0
gene__2385	1
gene__2386	0
gene__2387	0
gene__2388	0
gene__2389	0
gene__2390	0
gene__2391	0
gene__2392	0
gene__2393	0
gene__2394	0
gene__2395	0
gene__2396	0
gene__2397	0
gene__2398	0
gene__2399	0
gene__2400	0
gene__2401	0
gene__2402	0
gene__2403	0
gene__2404	0
gene__2405	0
gene__2406	0
gene__2407	0
gene__2408	0
gene__2409	0
gene__2410	0
gene__2411	0
gene__2412	0
gene__2413	0
gene__2414	0
gene__2415	0
gene__2416	0
gene__2417	0
gene__2418	0
gene__2419	0
gene__2420	0
gene__2421	0
gene__2422	0
gene__2423	0
gene__2424	0
gene__2425	0
gene__2426	0
gene__2427	0
gene__2428	0
gene__2429	0
gene__2430	0
gene__2431	0
gene__2432	0
gene__2433	0
gene__2434	0
gene__2435	1
gene__2436	1
gene__2437	1
gene__2438	1
gene__2439	0
gene__2440	0
gene__2441	0
gene__2442	0
gene__2443	0
gene__2444	0
gene__2445	1
gene__2446	1
gene__2447	1
gene__2448	1
gene__2449	1
gene__2450	1
gene__2451	1
gene__2452	1
gene__2453	1
gene__2454	1
gene__2455	1
gene__2456	1
gene__2457	0
gene__2458	0
gene__2459	0
gene__2460	0
gene__2461	0
gene__2462	0
gene__2463	0
gene__2464	1
gene__2465	0
gene__2466	1
gene__2467	1
gene__2468	1
gene__2469	0
gene__2470	1
gene__2471	1
gene__2472	1
gene__2473	0
gene__2474	1
gene__2475	0
gene__2476	0
gene__2477	0
gene__2478	0
gene__2479	0
gene__2480	0
gene__2481	1
gene__2482	0
gene__2483	0
gene__2484	0
gene__2485	0
gene__2486	1
gene__2487	1
gene__2488	0
gene__2489	0
gene__2490	0
gene__2491	0
gene__2492	1
gene__2493	1
gene__2494	0
gene__2495	0
gene__2496	1
gene__2497	1
gene__2498	1
gene__2499	0
gene__2500	0
gene__2501	1
gene__2502	1
gene__2503	1
gene__2504	1
gene__2505	0
gene__2506	0
gene__2507	1
gene__2508	1
gene__2509	0
gene__2510	1
gene__2511	1
gene__2512	1
gene__2513	1
gene__2514	1
gene__2515	1
gene__2516	1
gene__2517	1
gene__2518	1
gene__2519	1
gene__2520	1
gene__2521	1
gene__2522	1
gene__2523	1
gene__2524	0
gene__2525	0
gene__2526	0
gene__2527	0
gene__2528	0
gene__2529	0
